0: {wait: 0.0, buy: 0.0} => [wait, buy]
(7, 9): {wait: 10.92, buy: 9.0} => [buy]
(7, 10): {wait: 11.8, buy: 10.0} => [buy]
(7, 11): {wait: 12.68, buy: 11.0} => [buy]
(7, 12): {wait: 13.559999999999999, buy: 12.0} => [buy]
(7, 13): {wait: 14.44, buy: 13.0} => [buy]
(7, 14): {wait: 15.32, buy: 14.0} => [buy]
(7, 15): {wait: 16.2, buy: 15.0} => [buy]
(7, 16): {wait: 17.080000000000002, buy: 16.0} => [buy]
(7, 17): {wait: 17.96, buy: 17.0} => [buy]
(7, 18): {wait: 18.840000000000003, buy: 18.0} => [buy]
(7, 19): {wait: 19.72, buy: 19.0} => [buy]
(7, 20): {wait: 20.6, buy: 20.0} => [buy]
(7, 21): {wait: 21.478460536046367, buy: 21.0} => [buy]
(7, 22): {wait: 22.34320986176738, buy: 22.0} => [buy]
(7, 23): {wait: 23.165761658834782, buy: 23.0} => [buy]
(7, 24): {wait: 23.91275834554923, buy: 24.0} => [wait]
(7, 25): {wait: 24.56701762289678, buy: 25.0} => [wait]
(7, 26): {wait: 25.137115080255004, buy: 26.0} => [wait]
(7, 27): {wait: 25.64726077415913, buy: 27.0} => [wait]
(7, 28): {wait: 26.120372892244735, buy: 28.0} => [wait]
(7, 29): {wait: 26.5704438324634, buy: 29.0} => [wait]
(7, 30): {wait: 27.0052834118662, buy: 30.0} => [wait]
(7, 31): {wait: 27.430185022533323, buy: 31.0} => [wait]
(7, 32): {wait: 27.848644960863723, buy: 32.0} => [wait]
(7, 33): {wait: 28.263015843361785, buy: 33.0} => [wait]
(7, 34): {wait: 28.674874122344097, buy: 34.0} => [wait]
(7, 35): {wait: 29.085243341773452, buy: 35.0} => [wait]
(7, 36): {wait: 29.49476888537354, buy: 36.0} => [wait]
(7, 37): {wait: 29.903842044428288, buy: 37.0} => [wait]
(7, 38): {wait: 30.312688168950856, buy: 38.0} => [wait]
(7, 39): {wait: 30.72142930311107, buy: 39.0} => [wait]
(7, 40): {wait: 31.130126709406127, buy: 40.0} => [wait]
(7, 41): {wait: 31.538808239552356, buy: 41.0} => [wait]
(7, 42): {wait: 31.947485011828622, buy: 42.0} => [wait]
(7, 43): {wait: 32.35616073465856, buy: 43.0} => [wait]
(8, 4): {wait: 6.52, buy: 4.0} => [buy]
(8, 5): {wait: 7.4, buy: 5.0} => [buy]
(8, 6): {wait: 8.280000000000001, buy: 6.0} => [buy]
(8, 7): {wait: 9.16, buy: 7.0} => [buy]
(8, 8): {wait: 10.04, buy: 8.0} => [buy]
(8, 9): {wait: 10.92, buy: 9.0} => [buy]
(8, 10): {wait: 11.8, buy: 10.0} => [buy]
(8, 11): {wait: 12.68, buy: 11.0} => [buy]
(8, 12): {wait: 13.559999999999999, buy: 12.0} => [buy]
(8, 13): {wait: 14.44, buy: 13.0} => [buy]
(8, 14): {wait: 15.32, buy: 14.0} => [buy]
(8, 15): {wait: 16.2, buy: 15.0} => [buy]
(8, 16): {wait: 17.080000000000002, buy: 16.0} => [buy]
(8, 17): {wait: 17.96, buy: 17.0} => [buy]
(8, 18): {wait: 18.840000000000003, buy: 18.0} => [buy]
(8, 19): {wait: 19.72, buy: 19.0} => [buy]
(8, 20): {wait: 20.6, buy: 20.0} => [buy]
(8, 21): {wait: 21.479882166795928, buy: 21.0} => [buy]
(8, 22): {wait: 22.35092910243079, buy: 22.0} => [buy]
(8, 23): {wait: 23.188214369458883, buy: 23.0} => [buy]
(8, 24): {wait: 23.959560892409034, buy: 24.0} => [wait]
(8, 25): {wait: 24.646231487533772, buy: 25.0} => [wait]
(8, 26): {wait: 25.25422485191031, buy: 26.0} => [wait]
(8, 27): {wait: 25.80580467405199, buy: 27.0} => [wait]
(8, 28): {wait: 26.322883905616326, buy: 28.0} => [wait]
(8, 29): {wait: 26.81897255555105, buy: 29.0} => [wait]
(8, 30): {wait: 27.301684261695524, buy: 30.0} => [wait]
(8, 31): {wait: 27.776265795899466, buy: 31.0} => [wait]
(8, 32): {wait: 28.246064553836895, buy: 32.0} => [wait]
(8, 33): {wait: 28.71316096238388, buy: 33.0} => [wait]
(8, 34): {wait: 29.178815336774647, buy: 34.0} => [wait]
(8, 35): {wait: 29.643751081189652, buy: 35.0} => [wait]
(8, 36): {wait: 30.108357154838554, buy: 36.0} => [wait]
(8, 37): {wait: 30.57282749002511, buy: 37.0} => [wait]
(8, 38): {wait: 31.037249318305214, buy: 38.0} => [wait]
(8, 39): {wait: 31.501656854996714, buy: 39.0} => [wait]
(8, 40): {wait: 31.966061301759996, buy: 40.0} => [wait]
(8, 41): {wait: 32.430465388544, buy: 41.0} => [wait]
(8, 42): {wait: 32.894869475327994, buy: 42.0} => [wait]
(8, 43): {wait: 33.359273562111994, buy: 43.0} => [wait]
(8, 44): {wait: 33.82367764889598, buy: 44.0} => [wait]
(8, 45): {wait: 34.288081735679995, buy: 45.0} => [wait]
(8, 46): {wait: 34.752485822464, buy: 46.0} => [wait]
(9, 1): {wait: 3.880000018944, buy: 1.0} => [buy]
(9, 2): {wait: 4.760000004096, buy: 2.0} => [buy]
(9, 3): {wait: 5.639999999999999, buy: 3.0} => [buy]
(9, 4): {wait: 6.52, buy: 4.0} => [buy]
(9, 5): {wait: 7.4, buy: 5.0} => [buy]
(9, 6): {wait: 8.280000000000001, buy: 6.0} => [buy]
(9, 7): {wait: 9.16, buy: 7.0} => [buy]
(9, 8): {wait: 10.04, buy: 8.0} => [buy]
(9, 9): {wait: 10.92, buy: 9.0} => [buy]
(9, 10): {wait: 11.8, buy: 10.0} => [buy]
(9, 11): {wait: 12.68, buy: 11.0} => [buy]
(9, 12): {wait: 13.559999999999999, buy: 12.0} => [buy]
(9, 13): {wait: 14.44, buy: 13.0} => [buy]
(9, 14): {wait: 15.32, buy: 14.0} => [buy]
(9, 15): {wait: 16.2, buy: 15.0} => [buy]
(9, 16): {wait: 17.080000000000002, buy: 16.0} => [buy]
(9, 17): {wait: 17.96, buy: 17.0} => [buy]
(9, 18): {wait: 18.840000000000003, buy: 18.0} => [buy]
(9, 19): {wait: 19.72, buy: 19.0} => [buy]
(9, 20): {wait: 20.6, buy: 20.0} => [buy]
(9, 21): {wait: 21.48, buy: 21.0} => [buy]
(9, 22): {wait: 22.353716936305748, buy: 22.0} => [buy]
(9, 23): {wait: 23.201752904517335, buy: 23.0} => [buy]
(9, 24): {wait: 23.996904721538993, buy: 24.0} => [wait]
(9, 25): {wait: 24.720473690673852, buy: 25.0} => [wait]
(9, 26): {wait: 25.37382261645128, buy: 26.0} => [wait]
(9, 27): {wait: 25.97436285294231, buy: 27.0} => [wait]
(9, 28): {wait: 26.54225420117625, buy: 28.0} => [wait]
(9, 29): {wait: 27.091520275651575, buy: 29.0} => [wait]
(9, 30): {wait: 27.63013761368978, buy: 30.0} => [wait]
(9, 31): {wait: 28.162973316755203, buy: 31.0} => [wait]
(9, 32): {wait: 28.69290378316729, buy: 32.0} => [wait]
(9, 33): {wait: 29.22148194477419, buy: 33.0} => [wait]
(9, 34): {wait: 29.74949426025007, buy: 34.0} => [wait]
(9, 35): {wait: 30.2773024256321, buy: 35.0} => [wait]
(9, 36): {wait: 30.805049486310093, buy: 36.0} => [wait]
(9, 37): {wait: 31.3327830016, buy: 37.0} => [wait]
(9, 38): {wait: 31.860514918400003, buy: 38.0} => [wait]
(9, 39): {wait: 32.3882468352, buy: 39.0} => [wait]
(9, 40): {wait: 32.91597875199999, buy: 40.0} => [wait]
(9, 41): {wait: 33.44371066879999, buy: 41.0} => [wait]
(9, 42): {wait: 33.971442585599995, buy: 42.0} => [wait]
(9, 43): {wait: 34.499174502399995, buy: 43.0} => [wait]
(9, 44): {wait: 35.02690641920001, buy: 44.0} => [wait]
(9, 45): {wait: 35.55463833599999, buy: 45.0} => [wait]
(9, 46): {wait: 36.082370252800004, buy: 46.0} => [wait]
(9, 47): {wait: 36.61010216960006, buy: 47.0} => [wait]
(9, 48): {wait: 37.137834086735445, buy: 48.0} => [wait]
(9, 49): {wait: 37.66556600475156, buy: 49.0} => [wait]
(10, 0): {wait: 3.0, buy: 0.0} => [buy]
(10, 1): {wait: 3.880000018944, buy: 1.0} => [buy]
(10, 2): {wait: 4.760000004096, buy: 2.0} => [buy]
(10, 3): {wait: 5.639999999999999, buy: 3.0} => [buy]
(10, 4): {wait: 6.52, buy: 4.0} => [buy]
(10, 5): {wait: 7.4, buy: 5.0} => [buy]
(10, 6): {wait: 8.280000000000001, buy: 6.0} => [buy]
(10, 7): {wait: 9.16, buy: 7.0} => [buy]
(10, 8): {wait: 10.04, buy: 8.0} => [buy]
(10, 9): {wait: 10.92, buy: 9.0} => [buy]
(10, 10): {wait: 11.8, buy: 10.0} => [buy]
