0: {'wait': 0.0, 'buy': 0.0} => wait
(5, 36): {'wait': 28.600796053835396, 'buy': 36.0} => wait
(5, 37): {'wait': 28.930223647938558, 'buy': 37.0} => wait
(5, 38): {'wait': 29.25888542174601, 'buy': 38.0} => wait
(5, 39): {'wait': 29.587086528098112, 'buy': 39.0} => wait
(5, 40): {'wait': 29.91502339512286, 'buy': 40.0} => wait
(5, 41): {'wait': 30.242817895511685, 'buy': 41.0} => wait
(5, 42): {'wait': 30.57054225607966, 'buy': 42.0} => wait
(5, 43): {'wait': 30.898236310139794, 'buy': 43.0} => wait
(5, 44): {'wait': 31.225919577164152, 'buy': 44.0} => wait
(5, 45): {'wait': 31.553600000000007, 'buy': 45.0} => wait
(6, 0): {'wait': 5.0, 'buy': 0.0} => buy
(6, 1): {'wait': 5.800000000146794, 'buy': 1.0} => buy
(6, 2): {'wait': 6.600000000276855, 'buy': 2.0} => buy
(6, 3): {'wait': 7.40000000009594, 'buy': 3.0} => buy
(6, 4): {'wait': 8.200000000010737, 'buy': 4.0} => buy
(6, 5): {'wait': 9.0, 'buy': 5.0} => buy
(6, 6): {'wait': 9.8, 'buy': 6.0} => buy
(6, 7): {'wait': 10.6, 'buy': 7.0} => buy
(6, 8): {'wait': 11.4, 'buy': 8.0} => buy
(6, 9): {'wait': 12.2, 'buy': 9.0} => buy
(6, 10): {'wait': 13.0, 'buy': 10.0} => buy
(6, 11): {'wait': 13.8, 'buy': 11.0} => buy
(6, 12): {'wait': 14.600000000000003, 'buy': 12.0} => buy
(6, 13): {'wait': 15.399999999999999, 'buy': 13.0} => buy
(6, 14): {'wait': 16.2, 'buy': 14.0} => buy
(6, 15): {'wait': 16.999999999999996, 'buy': 15.0} => buy
(6, 16): {'wait': 17.8, 'buy': 16.0} => buy
(6, 17): {'wait': 18.599999999999998, 'buy': 17.0} => buy
(6, 18): {'wait': 19.400000000000002, 'buy': 18.0} => buy
(6, 19): {'wait': 20.2, 'buy': 19.0} => buy
(6, 20): {'wait': 20.99838759624487, 'buy': 20.0} => buy
(6, 21): {'wait': 21.788925131638706, 'buy': 21.0} => buy
(6, 22): {'wait': 22.559084524947984, 'buy': 22.0} => buy
(6, 23): {'wait': 23.292132806087945, 'buy': 23.0} => buy
(6, 24): {'wait': 23.972560147979465, 'buy': 24.0} => wait
(6, 25): {'wait': 24.591869128192602, 'buy': 25.0} => wait
(6, 26): {'wait': 25.15141138094307, 'buy': 26.0} => wait
(6, 27): {'wait': 25.660884953074227, 'buy': 27.0} => wait
(6, 28): {'wait': 26.13377243024853, 'buy': 28.0} => wait
(6, 29): {'wait': 26.58257897083096, 'buy': 29.0} => wait
(6, 30): {'wait': 27.01627538559394, 'buy': 30.0} => wait
(6, 31): {'wait': 27.440388924723955, 'buy': 31.0} => wait
(6, 32): {'wait': 27.85835561610208, 'buy': 32.0} => wait
(6, 33): {'wait': 28.27253025557017, 'buy': 33.0} => wait
(6, 34): {'wait': 28.68449611663867, 'buy': 34.0} => wait
(6, 35): {'wait': 29.095238497009234, 'buy': 35.0} => wait
(6, 36): {'wait': 29.50533875760889, 'buy': 36.0} => wait
(6, 37): {'wait': 29.91512807887133, 'buy': 37.0} => wait
(6, 38): {'wait': 30.32478579813269, 'buy': 38.0} => wait
(6, 39): {'wait': 30.73439848174372, 'buy': 39.0} => wait
(6, 40): {'wait': 31.144000000000002, 'buy': 40.0} => wait
(6, 41): {'wait': 31.5536, 'buy': 41.0} => wait
(6, 42): {'wait': 31.963200000000004, 'buy': 42.0} => wait
(6, 43): {'wait': 32.37280000000001, 'buy': 43.0} => wait
(6, 44): {'wait': 32.7824, 'buy': 44.0} => wait
(6, 45): {'wait': 33.19199999999999, 'buy': 45.0} => wait
(6, 46): {'wait': 33.60160000000137, 'buy': 46.0} => wait
(6, 47): {'wait': 34.01120000001228, 'buy': 47.0} => wait
(6, 48): {'wait': 34.42080000003545, 'buy': 48.0} => wait
(6, 49): {'wait': 34.83040000001883, 'buy': 49.0} => wait
(6, 50): {'wait': 35.24, 'buy': 50.0} => wait
(7, 0): {'wait': 5.0, 'buy': 0.0} => buy
(7, 1): {'wait': 5.800000000146794, 'buy': 1.0} => buy
(7, 2): {'wait': 6.600000000276855, 'buy': 2.0} => buy
(7, 3): {'wait': 7.40000000009594, 'buy': 3.0} => buy
(7, 4): {'wait': 8.200000000010737, 'buy': 4.0} => buy
(7, 5): {'wait': 9.0, 'buy': 5.0} => buy
(7, 6): {'wait': 9.8, 'buy': 6.0} => buy
(7, 7): {'wait': 10.6, 'buy': 7.0} => buy
(7, 8): {'wait': 11.4, 'buy': 8.0} => buy
(7, 9): {'wait': 12.2, 'buy': 9.0} => buy
(7, 10): {'wait': 13.0, 'buy': 10.0} => buy
(7, 11): {'wait': 13.8, 'buy': 11.0} => buy
(7, 12): {'wait': 14.600000000000003, 'buy': 12.0} => buy
(7, 13): {'wait': 15.399999999999999, 'buy': 13.0} => buy
(7, 14): {'wait': 16.2, 'buy': 14.0} => buy
(7, 15): {'wait': 16.999999999999996, 'buy': 15.0} => buy
(7, 16): {'wait': 17.8, 'buy': 16.0} => buy
(7, 17): {'wait': 18.599999999999998, 'buy': 17.0} => buy
(7, 18): {'wait': 19.400000000000002, 'buy': 18.0} => buy
(7, 19): {'wait': 20.2, 'buy': 19.0} => buy
(7, 20): {'wait': 20.999255982600005, 'buy': 20.0} => buy
(7, 21): {'wait': 21.794357974235375, 'buy': 21.0} => buy
(7, 22): {'wait': 22.5774046598098, 'buy': 22.0} => buy
(7, 23): {'wait': 23.33631659511678, 'buy': 23.0} => buy
(7, 24): {'wait': 24.05805347553522, 'buy': 24.0} => buy
(7, 25): {'wait': 24.73333789867362, 'buy': 25.0} => wait
(7, 26): {'wait': 25.360258569932018, 'buy': 26.0} => wait
(7, 27): {'wait': 25.944719805593042, 'buy': 27.0} => wait
(7, 28): {'wait': 26.497628760175807, 'buy': 28.0} => wait
(7, 29): {'wait': 27.030616182207584, 'buy': 29.0} => wait
(7, 30): {'wait': 27.552704416598026, 'buy': 30.0} => wait
(7, 31): {'wait': 28.069316934618, 'buy': 31.0} => wait
(7, 32): {'wait': 28.58321462596603, 'buy': 32.0} => wait
(7, 33): {'wait': 29.095836610038468, 'buy': 33.0} => wait
(7, 34): {'wait': 29.607981786263117, 'buy': 34.0} => wait
(7, 35): {'wait': 30.12, 'buy': 35.0} => wait
(7, 36): {'wait': 30.631999999999998, 'buy': 36.0} => wait
(7, 37): {'wait': 31.144, 'buy': 37.0} => wait
(7, 38): {'wait': 31.656000000000006, 'buy': 38.0} => wait
(7, 39): {'wait': 32.168000000000006, 'buy': 39.0} => wait
(7, 40): {'wait': 32.68000000000001, 'buy': 40.0} => wait
(7, 41): {'wait': 33.192, 'buy': 41.0} => wait
(7, 42): {'wait': 33.70400000000001, 'buy': 42.0} => wait
(7, 43): {'wait': 34.215999999999994, 'buy': 43.0} => wait
(7, 44): {'wait': 34.727999999999994, 'buy': 44.0} => wait
(7, 45): {'wait': 35.24, 'buy': 45.0} => wait
(7, 46): {'wait': 35.752000000001715, 'buy': 46.0} => wait
(7, 47): {'wait': 36.26400000001535, 'buy': 47.0} => wait
(7, 48): {'wait': 36.77600000004431, 'buy': 48.0} => wait
(7, 49): {'wait': 37.28800000002352, 'buy': 49.0} => wait
(7, 50): {'wait': 37.8, 'buy': 50.0} => wait
(7, 51): {'wait': 38.440000000002144, 'buy': 51.0} => wait
(7, 52): {'wait': 39.08000000001918, 'buy': 52.0} => wait
(7, 53): {'wait': 39.72000000005537, 'buy': 53.0} => wait
(7, 54): {'wait': 40.360000000029345, 'buy': 54.0} => wait
(7, 55): {'wait': 40.99999999999999, 'buy': 55.0} => wait
(8, 0): {'wait': 5.0, 'buy': 0.0} => buy
(8, 1): {'wait': 5.800000000146794, 'buy': 1.0} => buy
(8, 2): {'wait': 6.600000000276855, 'buy': 2.0} => buy
(8, 3): {'wait': 7.40000000009594, 'buy': 3.0} => buy
(8, 4): {'wait': 8.200000000010737, 'buy': 4.0} => buy
(8, 5): {'wait': 9.0, 'buy': 5.0} => buy
(8, 6): {'wait': 9.8, 'buy': 6.0} => buy
(8, 7): {'wait': 10.6, 'buy': 7.0} => buy
(8, 8): {'wait': 11.4, 'buy': 8.0} => buy
(8, 9): {'wait': 12.2, 'buy': 9.0} => buy
(8, 10): {'wait': 13.0, 'buy': 10.0} => buy
(8, 11): {'wait': 13.8, 'buy': 11.0} => buy
(8, 12): {'wait': 14.600000000000003, 'buy': 12.0} => buy
(8, 13): {'wait': 15.399999999999999, 'buy': 13.0} => buy
(8, 14): {'wait': 16.2, 'buy': 14.0} => buy
(8, 15): {'wait': 16.999999999999996, 'buy': 15.0} => buy
(8, 16): {'wait': 17.8, 'buy': 16.0} => buy
(8, 17): {'wait': 18.599999999999998, 'buy': 17.0} => buy
(8, 18): {'wait': 19.400000000000002, 'buy': 18.0} => buy
(8, 19): {'wait': 20.2, 'buy': 19.0} => buy
(8, 20): {'wait': 21.000000000000004, 'buy': 20.0} => buy
(8, 21): {'wait': 21.799138391586204, 'buy': 21.0} => buy
(8, 22): {'wait': 22.594020548929244, 'buy': 22.0} => buy
(8, 23): {'wait': 23.37778189648833, 'buy': 23.0} => buy
(8, 24): {'wait': 24.14137945021674, 'buy': 24.0} => buy
