0: {wait: 0.0, buy: 0.0} => [wait, buy]
(1, 300): {wait: 300.0, buy: 300.0} => [wait, buy]
(2, 295): {wait: 295.0, buy: 295.0} => [wait, buy]
(2, 296): {wait: 296.0, buy: 296.0} => [wait, buy]
(2, 297): {wait: 297.0, buy: 297.0} => [wait, buy]
(2, 298): {wait: 298.0, buy: 298.0} => [wait, buy]
(2, 299): {wait: 299.0, buy: 299.0} => [wait, buy]
(2, 300): {wait: 300.0, buy: 300.0} => [wait, buy]
(2, 301): {wait: 301.0, buy: 301.0} => [wait, buy]
(2, 302): {wait: 302.0, buy: 302.0} => [wait, buy]
(2, 303): {wait: 303.0, buy: 303.0} => [wait, buy]
(2, 304): {wait: 304.0, buy: 304.0} => [wait, buy]
(2, 305): {wait: 305.0, buy: 305.0} => [wait, buy]
(3, 290): {wait: 290.0, buy: 290.0} => [wait, buy]
(3, 291): {wait: 291.0, buy: 291.0} => [wait, buy]
(3, 292): {wait: 292.0, buy: 292.0} => [wait, buy]
(3, 293): {wait: 293.0, buy: 293.0} => [wait, buy]
(3, 294): {wait: 294.0, buy: 294.0} => [wait, buy]
(3, 295): {wait: 295.0, buy: 295.0} => [wait, buy]
(3, 296): {wait: 296.0, buy: 296.0} => [wait, buy]
(3, 297): {wait: 297.0, buy: 297.0} => [wait, buy]
(3, 298): {wait: 298.0, buy: 298.0} => [wait, buy]
(3, 299): {wait: 299.0, buy: 299.0} => [wait, buy]
(3, 300): {wait: 300.0, buy: 300.0} => [wait, buy]
(3, 301): {wait: 301.0, buy: 301.0} => [wait, buy]
(3, 302): {wait: 302.0, buy: 302.0} => [wait, buy]
(3, 303): {wait: 303.0, buy: 303.0} => [wait, buy]
(3, 304): {wait: 304.0, buy: 304.0} => [wait, buy]
(3, 305): {wait: 305.0, buy: 305.0} => [wait, buy]
(3, 306): {wait: 306.0, buy: 306.0} => [wait, buy]
(3, 307): {wait: 307.0, buy: 307.0} => [wait, buy]
(3, 308): {wait: 308.0, buy: 308.0} => [wait, buy]
(3, 309): {wait: 309.0, buy: 309.0} => [wait, buy]
(3, 310): {wait: 310.0, buy: 310.0} => [wait, buy]
(4, 285): {wait: 285.0, buy: 285.0} => [wait, buy]
(4, 286): {wait: 286.0, buy: 286.0} => [wait, buy]
(4, 287): {wait: 287.0, buy: 287.0} => [wait, buy]
(4, 288): {wait: 288.0, buy: 288.0} => [wait, buy]
(4, 289): {wait: 289.0, buy: 289.0} => [wait, buy]
(4, 290): {wait: 290.0, buy: 290.0} => [wait, buy]
(4, 291): {wait: 291.0, buy: 291.0} => [wait, buy]
(4, 292): {wait: 292.0, buy: 292.0} => [wait, buy]
(4, 293): {wait: 293.0, buy: 293.0} => [wait, buy]
(4, 294): {wait: 294.0, buy: 294.0} => [wait, buy]
(4, 295): {wait: 295.0, buy: 295.0} => [wait, buy]
(4, 296): {wait: 296.0, buy: 296.0} => [wait, buy]
(4, 297): {wait: 297.0, buy: 297.0} => [wait, buy]
(4, 298): {wait: 298.0, buy: 298.0} => [wait, buy]
(4, 299): {wait: 299.0, buy: 299.0} => [wait, buy]
(4, 300): {wait: 300.0, buy: 300.0} => [wait, buy]
(4, 301): {wait: 301.0, buy: 301.0} => [wait, buy]
(4, 302): {wait: 302.0, buy: 302.0} => [wait, buy]
(4, 303): {wait: 303.0, buy: 303.0} => [wait, buy]
(4, 304): {wait: 304.0, buy: 304.0} => [wait, buy]
(4, 305): {wait: 305.0, buy: 305.0} => [wait, buy]
(4, 306): {wait: 306.0, buy: 306.0} => [wait, buy]
(4, 307): {wait: 307.0, buy: 307.0} => [wait, buy]
(4, 308): {wait: 308.0, buy: 308.0} => [wait, buy]
(4, 309): {wait: 309.0, buy: 309.0} => [wait, buy]
(4, 310): {wait: 310.0, buy: 310.0} => [wait, buy]
(4, 311): {wait: 311.0, buy: 311.0} => [wait, buy]
(4, 312): {wait: 312.0, buy: 312.0} => [wait, buy]
(4, 313): {wait: 313.0, buy: 313.0} => [wait, buy]
(4, 314): {wait: 314.0, buy: 314.0} => [wait, buy]
(4, 315): {wait: 315.0, buy: 315.0} => [wait, buy]
(5, 280): {wait: 280.0, buy: 280.0} => [wait, buy]
(5, 281): {wait: 281.0, buy: 281.0} => [wait, buy]
(5, 282): {wait: 282.0, buy: 282.0} => [wait, buy]
(5, 283): {wait: 283.0, buy: 283.0} => [wait, buy]
(5, 284): {wait: 284.0, buy: 284.0} => [wait, buy]
(5, 285): {wait: 285.0, buy: 285.0} => [wait, buy]
(5, 286): {wait: 286.0, buy: 286.0} => [wait, buy]
(5, 287): {wait: 287.0, buy: 287.0} => [wait, buy]
(5, 288): {wait: 288.0, buy: 288.0} => [wait, buy]
(5, 289): {wait: 289.0, buy: 289.0} => [wait, buy]
(5, 290): {wait: 290.0, buy: 290.0} => [wait, buy]
(5, 291): {wait: 291.0, buy: 291.0} => [wait, buy]
(5, 292): {wait: 292.0, buy: 292.0} => [wait, buy]
(5, 293): {wait: 293.0, buy: 293.0} => [wait, buy]
(5, 294): {wait: 294.0, buy: 294.0} => [wait, buy]
(5, 295): {wait: 295.0, buy: 295.0} => [wait, buy]
(5, 296): {wait: 296.0, buy: 296.0} => [wait, buy]
(5, 297): {wait: 297.0, buy: 297.0} => [wait, buy]
(5, 298): {wait: 298.0, buy: 298.0} => [wait, buy]
(5, 299): {wait: 299.0, buy: 299.0} => [wait, buy]
(5, 300): {wait: 300.0, buy: 300.0} => [wait, buy]
(5, 301): {wait: 301.0, buy: 301.0} => [wait, buy]
(5, 302): {wait: 302.0, buy: 302.0} => [wait, buy]
(5, 303): {wait: 303.0, buy: 303.0} => [wait, buy]
(5, 304): {wait: 304.0, buy: 304.0} => [wait, buy]
(5, 305): {wait: 305.0, buy: 305.0} => [wait, buy]
(5, 306): {wait: 306.0, buy: 306.0} => [wait, buy]
(5, 307): {wait: 307.0, buy: 307.0} => [wait, buy]
(5, 308): {wait: 308.0, buy: 308.0} => [wait, buy]
(5, 309): {wait: 309.0, buy: 309.0} => [wait, buy]
(5, 310): {wait: 310.0, buy: 310.0} => [wait, buy]
(5, 311): {wait: 311.0, buy: 311.0} => [wait, buy]
(5, 312): {wait: 312.0, buy: 312.0} => [wait, buy]
(5, 313): {wait: 313.0, buy: 313.0} => [wait, buy]
(5, 314): {wait: 314.0, buy: 314.0} => [wait, buy]
(5, 315): {wait: 315.0, buy: 315.0} => [wait, buy]
(5, 316): {wait: 316.0, buy: 316.0} => [wait, buy]
(5, 317): {wait: 317.0, buy: 317.0} => [wait, buy]
(5, 318): {wait: 318.0, buy: 318.0} => [wait, buy]
(5, 319): {wait: 319.0, buy: 319.0} => [wait, buy]
(5, 320): {wait: 320.0, buy: 320.0} => [wait, buy]
(6, 275): {wait: 275.0, buy: 275.0} => [wait, buy]
(6, 276): {wait: 276.0, buy: 276.0} => [wait, buy]
(6, 277): {wait: 277.0, buy: 277.0} => [wait, buy]
(6, 278): {wait: 278.0, buy: 278.0} => [wait, buy]
(6, 279): {wait: 279.0, buy: 279.0} => [wait, buy]
(6, 280): {wait: 280.0, buy: 280.0} => [wait, buy]
(6, 281): {wait: 281.0, buy: 281.0} => [wait, buy]
(6, 282): {wait: 282.0, buy: 282.0} => [wait, buy]
(6, 283): {wait: 283.0, buy: 283.0} => [wait, buy]
(6, 284): {wait: 284.0, buy: 284.0} => [wait, buy]
(6, 285): {wait: 285.0, buy: 285.0} => [wait, buy]
(6, 286): {wait: 286.0, buy: 286.0} => [wait, buy]
(6, 287): {wait: 287.0, buy: 287.0} => [wait, buy]
(6, 288): {wait: 288.0, buy: 288.0} => [wait, buy]
(6, 289): {wait: 289.0, buy: 289.0} => [wait, buy]
(6, 290): {wait: 290.0, buy: 290.0} => [wait, buy]
(6, 291): {wait: 291.0, buy: 291.0} => [wait, buy]
(6, 292): {wait: 292.0, buy: 292.0} => [wait, buy]
(6, 293): {wait: 293.0, buy: 293.0} => [wait, buy]
(6, 294): {wait: 294.0, buy: 294.0} => [wait, buy]
(6, 295): {wait: 295.0, buy: 295.0} => [wait, buy]
(6, 296): {wait: 296.0, buy: 296.0} => [wait, buy]
(6, 297): {wait: 297.0, buy: 297.0} => [wait, buy]
(6, 298): {wait: 298.0, buy: 298.0} => [wait, buy]
(6, 299): {wait: 299.0, buy: 299.0} => [wait, buy]
(6, 300): {wait: 300.0, buy: 300.0} => [wait, buy]
(6, 301): {wait: 301.0, buy: 301.0} => [wait, buy]
(6, 302): {wait: 302.0, buy: 302.0} => [wait, buy]
(6, 303): {wait: 303.0, buy: 303.0} => [wait, buy]
(6, 304): {wait: 304.0, buy: 304.0} => [wait, buy]
(6, 305): {wait: 305.0, buy: 305.0} => [wait, buy]
(6, 306): {wait: 306.0, buy: 306.0} => [wait, buy]
(6, 307): {wait: 307.0, buy: 307.0} => [wait, buy]
(6, 308): {wait: 308.0, buy: 308.0} => [wait, buy]
(6, 309): {wait: 309.0, buy: 309.0} => [wait, buy]
(6, 310): {wait: 310.0, buy: 310.0} => [wait, buy]
(6, 311): {wait: 311.0, buy: 311.0} => [wait, buy]
(6, 312): {wait: 312.0, buy: 312.0} => [wait, buy]
(6, 313): {wait: 313.0, buy: 313.0} => [wait, buy]
(6, 314): {wait: 314.0, buy: 314.0} => [wait, buy]
(6, 315): {wait: 315.0, buy: 315.0} => [wait, buy]
(6, 316): {wait: 316.0, buy: 316.0} => [wait, buy]
(6, 317): {wait: 317.0, buy: 317.0} => [wait, buy]
(6, 318): {wait: 318.0, buy: 318.0} => [wait, buy]
(6, 319): {wait: 319.0, buy: 319.0} => [wait, buy]
(6, 320): {wait: 320.0, buy: 320.0} => [wait, buy]
(6, 321): {wait: 321.0, buy: 321.0} => [wait, buy]
(6, 322): {wait: 322.0, buy: 322.0} => [wait, buy]
(6, 323): {wait: 323.0, buy: 323.0} => [wait, buy]
(6, 324): {wait: 324.0, buy: 324.0} => [wait, buy]
(6, 325): {wait: 325.0, buy: 325.0} => [wait, buy]
(7, 270): {wait: 270.0, buy: 270.0} => [wait, buy]
(7, 271): {wait: 271.0, buy: 271.0} => [wait, buy]
(7, 272): {wait: 272.0, buy: 272.0} => [wait, buy]
(7, 273): {wait: 273.0, buy: 273.0} => [wait, buy]
(7, 274): {wait: 274.0, buy: 274.0} => [wait, buy]
