0: {wait: 0.0, buy: 0.0} => [wait, buy]
(1, 20): {wait: 19.038831169456206, buy: 20.0} => [wait]
(2, 16): {wait: 16.767541440206593, buy: 16.0} => [buy]
(2, 17): {wait: 17.49137076352362, buy: 17.0} => [buy]
(2, 18): {wait: 18.13850994992516, buy: 18.0} => [buy]
(2, 19): {wait: 18.69174599343913, buy: 19.0} => [wait]
(2, 20): {wait: 19.150431346637742, buy: 20.0} => [wait]
(2, 21): {wait: 19.52848756822393, buy: 21.0} => [wait]
(2, 22): {wait: 19.846690900054714, buy: 22.0} => [wait]
(2, 23): {wait: 20.124388418424434, buy: 23.0} => [wait]
(2, 24): {wait: 20.37505311408731, buy: 24.0} => [wait]
(3, 12): {wait: 13.6, buy: 12.0} => [buy]
(3, 13): {wait: 14.400000000000002, buy: 13.0} => [buy]
(3, 14): {wait: 15.2, buy: 14.0} => [buy]
(3, 15): {wait: 15.996723493394711, buy: 15.0} => [buy]
(3, 16): {wait: 16.77714963711175, buy: 16.0} => [buy]
(3, 17): {wait: 17.517341019532594, buy: 17.0} => [buy]
(3, 18): {wait: 18.18984475974431, buy: 18.0} => [buy]
(3, 19): {wait: 18.774889947402603, buy: 19.0} => [wait]
(3, 20): {wait: 19.268088102604537, buy: 20.0} => [wait]
(3, 21): {wait: 19.680448195753122, buy: 21.0} => [wait]
(3, 22): {wait: 20.031698474893616, buy: 22.0} => [wait]
(3, 23): {wait: 20.34164486777484, buy: 23.0} => [wait]
(3, 24): {wait: 20.6246053010046, buy: 24.0} => [wait]
(3, 25): {wait: 20.888940179627532, buy: 25.0} => [wait]
(3, 26): {wait: 21.13963540014925, buy: 26.0} => [wait]
(3, 27): {wait: 21.380292846054925, buy: 27.0} => [wait]
(3, 28): {wait: 21.61341994099743, buy: 28.0} => [wait]
(4, 8): {wait: 10.399999999999999, buy: 8.0} => [buy]
(4, 9): {wait: 11.2, buy: 9.0} => [buy]
(4, 10): {wait: 12.0, buy: 10.0} => [buy]
(4, 11): {wait: 12.8, buy: 11.0} => [buy]
(4, 12): {wait: 13.6, buy: 12.0} => [buy]
(4, 13): {wait: 14.400000000000002, buy: 13.0} => [buy]
(4, 14): {wait: 15.2, buy: 14.0} => [buy]
(4, 15): {wait: 15.99860138398213, buy: 15.0} => [buy]
(4, 16): {wait: 16.78643733268099, buy: 16.0} => [buy]
(4, 17): {wait: 17.54278834063001, buy: 17.0} => [buy]
(4, 18): {wait: 18.24096781550911, buy: 18.0} => [buy]
(4, 19): {wait: 18.859275112851574, buy: 19.0} => [wait]
(4, 20): {wait: 19.390081122980604, buy: 20.0} => [wait]
(4, 21): {wait: 19.841645337599203, buy: 21.0} => [wait]
(4, 22): {wait: 20.232447843617468, buy: 22.0} => [wait]
(4, 23): {wait: 20.582340087901766, buy: 23.0} => [wait]
(4, 24): {wait: 20.906070108372628, buy: 24.0} => [wait]
(4, 25): {wait: 21.212146140786338, buy: 25.0} => [wait]
(4, 26): {wait: 21.505474108031226, buy: 26.0} => [wait]
(4, 27): {wait: 21.789660376851398, buy: 27.0} => [wait]
(4, 28): {wait: 22.06724507567514, buy: 28.0} => [wait]
(4, 29): {wait: 22.34003902356283, buy: 29.0} => [wait]
(4, 30): {wait: 22.609384249207356, buy: 30.0} => [wait]
(4, 31): {wait: 22.87628829530835, buy: 31.0} => [wait]
(4, 32): {wait: 23.141492124031515, buy: 32.0} => [wait]
(5, 4): {wait: 7.2, buy: 4.0} => [buy]
(5, 5): {wait: 8.0, buy: 5.0} => [buy]
(5, 6): {wait: 8.8, buy: 6.0} => [buy]
(5, 7): {wait: 9.6, buy: 7.0} => [buy]
(5, 8): {wait: 10.399999999999999, buy: 8.0} => [buy]
(5, 9): {wait: 11.2, buy: 9.0} => [buy]
(5, 10): {wait: 12.0, buy: 10.0} => [buy]
(5, 11): {wait: 12.8, buy: 11.0} => [buy]
(5, 12): {wait: 13.6, buy: 12.0} => [buy]
(5, 13): {wait: 14.400000000000002, buy: 13.0} => [buy]
(5, 14): {wait: 15.2, buy: 14.0} => [buy]
(5, 15): {wait: 16.0, buy: 15.0} => [buy]
(5, 16): {wait: 16.79383729150113, buy: 16.0} => [buy]
(5, 17): {wait: 17.564403944837988, buy: 17.0} => [buy]
(5, 18): {wait: 18.287118724276784, buy: 18.0} => [buy]
(5, 19): {wait: 18.939929899435914, buy: 19.0} => [wait]
(5, 20): {wait: 19.512887675270612, buy: 20.0} => [wait]
(5, 21): {wait: 20.011332060861555, buy: 21.0} => [wait]
(5, 22): {wait: 20.451508415750837, buy: 22.0} => [wait]
(5, 23): {wait: 20.852214607308596, buy: 23.0} => [wait]
(5, 24): {wait: 21.228007937940355, buy: 24.0} => [wait]
(5, 25): {wait: 21.58748536610411, buy: 25.0} => [wait]
(5, 26): {wait: 21.93563895938178, buy: 26.0} => [wait]
(5, 27): {wait: 22.276184058473678, buy: 27.0} => [wait]
(5, 28): {wait: 22.611733533598475, buy: 28.0} => [wait]
(5, 29): {wait: 22.944052444440782, buy: 29.0} => [wait]
(5, 30): {wait: 23.274332358287687, buy: 30.0} => [wait]
(5, 31): {wait: 23.603380957118933, buy: 31.0} => [wait]
(5, 32): {wait: 23.931727650795526, buy: 32.0} => [wait]
(5, 33): {wait: 24.259698838055986, buy: 33.0} => [wait]
(5, 34): {wait: 24.587485962860214, buy: 34.0} => [wait]
(5, 35): {wait: 24.91519539445554, buy: 35.0} => [wait]
(5, 36): {wait: 25.242880000000067, buy: 36.0} => [wait]
(6, 0): {wait: 4.0, buy: 0.0} => [buy]
(6, 1): {wait: 4.800000006594086, buy: 1.0} => [buy]
(6, 2): {wait: 5.600000006015625, buy: 2.0} => [buy]
(6, 3): {wait: 6.40000000100113, buy: 3.0} => [buy]
(6, 4): {wait: 7.2, buy: 4.0} => [buy]
(6, 5): {wait: 8.0, buy: 5.0} => [buy]
(6, 6): {wait: 8.8, buy: 6.0} => [buy]
(6, 7): {wait: 9.6, buy: 7.0} => [buy]
(6, 8): {wait: 10.399999999999999, buy: 8.0} => [buy]
(6, 9): {wait: 11.2, buy: 9.0} => [buy]
(6, 10): {wait: 12.0, buy: 10.0} => [buy]
(6, 11): {wait: 12.8, buy: 11.0} => [buy]
(6, 12): {wait: 13.6, buy: 12.0} => [buy]
(6, 13): {wait: 14.400000000000002, buy: 13.0} => [buy]
(6, 14): {wait: 15.2, buy: 14.0} => [buy]
(6, 15): {wait: 16.0, buy: 15.0} => [buy]
(6, 16): {wait: 16.795992064140417, buy: 16.0} => [buy]
(6, 17): {wait: 17.575805826231992, buy: 17.0} => [buy]
(6, 18): {wait: 18.320243109660996, buy: 18.0} => [buy]
(6, 19): {wait: 19.009861393694568, buy: 19.0} => [buy]
(6, 20): {wait: 19.63308824761905, buy: 20.0} => [wait]
(6, 21): {wait: 20.19064326947022, buy: 21.0} => [wait]
(6, 22): {wait: 20.693982059117456, buy: 22.0} => [wait]
(6, 23): {wait: 21.1593024535356, buy: 23.0} => [wait]
(6, 24): {wait: 21.60112716203831, buy: 24.0} => [wait]
(6, 25): {wait: 22.02910724394587, buy: 25.0} => [wait]
(6, 26): {wait: 22.448722478401187, buy: 26.0} => [wait]
(6, 27): {wait: 22.86338060756564, buy: 27.0} => [wait]
(6, 28): {wait: 23.275342289886368, buy: 28.0} => [wait]
(6, 29): {wait: 23.68593895819517, buy: 29.0} => [wait]
(6, 30): {wait: 24.095894011237565, buy: 30.0} => [wait]
(6, 31): {wait: 24.505586596551314, buy: 31.0} => [wait]
(6, 32): {wait: 24.9152, buy: 32.0} => [wait]
(6, 33): {wait: 25.3248, buy: 33.0} => [wait]
(6, 34): {wait: 25.7344, buy: 34.0} => [wait]
(6, 35): {wait: 26.144000000000016, buy: 35.0} => [wait]
(6, 36): {wait: 26.55360000000009, buy: 36.0} => [wait]
(6, 37): {wait: 26.963200000128513, buy: 37.0} => [wait]
(6, 38): {wait: 27.37280000077124, buy: 38.0} => [wait]
(6, 39): {wait: 27.782400000847257, buy: 39.0} => [wait]
(6, 40): {wait: 28.192000000000107, buy: 40.0} => [wait]
(7, 0): {wait: 4.0, buy: 0.0} => [buy]
(7, 1): {wait: 4.800000006594086, buy: 1.0} => [buy]
(7, 2): {wait: 5.600000006015625, buy: 2.0} => [buy]
(7, 3): {wait: 6.40000000100113, buy: 3.0} => [buy]
(7, 4): {wait: 7.2, buy: 4.0} => [buy]
(7, 5): {wait: 8.0, buy: 5.0} => [buy]
(7, 6): {wait: 8.8, buy: 6.0} => [buy]
(7, 7): {wait: 9.6, buy: 7.0} => [buy]
(7, 8): {wait: 10.399999999999999, buy: 8.0} => [buy]
(7, 9): {wait: 11.2, buy: 9.0} => [buy]
(7, 10): {wait: 12.0, buy: 10.0} => [buy]
(7, 11): {wait: 12.8, buy: 11.0} => [buy]
(7, 12): {wait: 13.6, buy: 12.0} => [buy]
(7, 13): {wait: 14.400000000000002, buy: 13.0} => [buy]
(7, 14): {wait: 15.2, buy: 14.0} => [buy]
(7, 15): {wait: 16.0, buy: 15.0} => [buy]
(7, 16): {wait: 16.79816292, buy: 16.0} => [buy]
(7, 17): {wait: 17.587412985410605, buy: 17.0} => [buy]
(7, 18): {wait: 18.354398642184336, buy: 18.0} => [buy]
(7, 19): {wait: 19.083108102164616, buy: 19.0} => [buy]
(7, 20): {wait: 19.76137784710418, buy: 20.0} => [wait]
(7, 21): {wait: 20.38624887464409, buy: 21.0} => [wait]
(7, 22): {wait: 20.96492883787876, buy: 22.0} => [wait]
(7, 23): {wait: 21.51098362182635, buy: 23.0} => [wait]
(7, 24): {wait: 22.038328677899656, buy: 24.0} => [wait]
(7, 25): {wait: 22.556754093888728, buy: 25.0} => [wait]
(7, 26): {wait: 23.071215952780143, buy: 26.0} => [wait]
(7, 27): {wait: 23.583897008131846, buy: 27.0} => [wait]
(7, 28): {wait: 24.095999999999997, buy: 28.0} => [wait]
(7, 29): {wait: 24.607999999999997, buy: 29.0} => [wait]
(7, 30): {wait: 25.12, buy: 30.0} => [wait]
(7, 31): {wait: 25.631999999999998, buy: 31.0} => [wait]
(7, 32): {wait: 26.144, buy: 32.0} => [wait]
(7, 33): {wait: 26.656, buy: 33.0} => [wait]
(7, 34): {wait: 27.168, buy: 34.0} => [wait]
(7, 35): {wait: 27.680000000000017, buy: 35.0} => [wait]
(7, 36): {wait: 28.192000000000107, buy: 36.0} => [wait]
(7, 37): {wait: 28.704000000160633, buy: 37.0} => [wait]
(7, 38): {wait: 29.216000000964023, buy: 38.0} => [wait]
(7, 39): {wait: 29.728000001059016, buy: 39.0} => [wait]
(7, 40): {wait: 30.24, buy: 40.0} => [wait]
(7, 41): {wait: 30.88000000020023, buy: 41.0} => [wait]
(7, 42): {wait: 31.520000001203123, buy: 42.0} => [wait]
(7, 43): {wait: 32.16000000131882, buy: 43.0} => [wait]
(7, 44): {wait: 32.800000000000004, buy: 44.0} => [wait]
(8, 0): {wait: 4.0, buy: 0.0} => [buy]
(8, 1): {wait: 4.800000006594086, buy: 1.0} => [buy]
(8, 2): {wait: 5.600000006015625, buy: 2.0} => [buy]
(8, 3): {wait: 6.40000000100113, buy: 3.0} => [buy]
(8, 4): {wait: 7.2, buy: 4.0} => [buy]
(8, 5): {wait: 8.0, buy: 5.0} => [buy]
(8, 6): {wait: 8.8, buy: 6.0} => [buy]
(8, 7): {wait: 9.6, buy: 7.0} => [buy]
(8, 8): {wait: 10.399999999999999, buy: 8.0} => [buy]
(8, 9): {wait: 11.2, buy: 9.0} => [buy]
(8, 10): {wait: 12.0, buy: 10.0} => [buy]
(8, 11): {wait: 12.8, buy: 11.0} => [buy]
(8, 12): {wait: 13.6, buy: 12.0} => [buy]
(8, 13): {wait: 14.400000000000002, buy: 13.0} => [buy]
(8, 14): {wait: 15.2, buy: 14.0} => [buy]
(8, 15): {wait: 16.0, buy: 15.0} => [buy]
(8, 16): {wait: 16.8, buy: 16.0} => [buy]
(8, 17): {wait: 17.597610138388642, buy: 17.0} => [buy]
(8, 18): {wait: 18.385689108796875, buy: 18.0} => [buy]
(8, 19): {wait: 19.153371476879425, buy: 19.0} => [buy]
(8, 20): {wait: 19.890624999999996, buy: 20.0} => [wait]
(8, 21): {wait: 20.593371476879426, buy: 21.0} => [wait]
(8, 22): {wait: 21.265689108796874, buy: 22.0} => [wait]
(8, 23): {wait: 21.91761013838864, buy: 23.0} => [wait]
(8, 24): {wait: 22.56, buy: 24.0} => [wait]
(8, 25): {wait: 23.2, buy: 25.0} => [wait]
(8, 26): {wait: 23.84, buy: 26.0} => [wait]
(8, 27): {wait: 24.48, buy: 27.0} => [wait]
(8, 28): {wait: 25.12, buy: 28.0} => [wait]
(8, 29): {wait: 25.76, buy: 29.0} => [wait]
(8, 30): {wait: 26.4, buy: 30.0} => [wait]
(8, 31): {wait: 27.039999999999996, buy: 31.0} => [wait]
(8, 32): {wait: 27.68, buy: 32.0} => [wait]
(8, 33): {wait: 28.32, buy: 33.0} => [wait]
(8, 34): {wait: 28.959999999999994, buy: 34.0} => [wait]
(8, 35): {wait: 29.59999999999999, buy: 35.0} => [wait]
(8, 36): {wait: 30.24, buy: 36.0} => [wait]
(8, 37): {wait: 30.88000000020023, buy: 37.0} => [wait]
(8, 38): {wait: 31.520000001203123, buy: 38.0} => [wait]
(8, 39): {wait: 32.16000000131882, buy: 39.0} => [wait]
(8, 40): {wait: 32.800000000000004, buy: 40.0} => [wait]
(8, 41): {wait: 33.599999999999994, buy: 41.0} => [wait]
(8, 42): {wait: 34.39999999999999, buy: 42.0} => [wait]
(8, 43): {wait: 35.19999999999999, buy: 43.0} => [wait]
(8, 44): {wait: 36.0, buy: 44.0} => [wait]
(8, 45): {wait: 37.0, buy: 45.0} => [wait]
(8, 46): {wait: 38.0, buy: 46.0} => [wait]
(8, 47): {wait: 39.0, buy: 47.0} => [wait]
(8, 48): {wait: 40.0, buy: 48.0} => [wait]
(9, 0): {wait: 4.0, buy: 0.0} => [buy]
(9, 1): {wait: 4.800000006594086, buy: 1.0} => [buy]
(9, 2): {wait: 5.600000006015625, buy: 2.0} => [buy]
(9, 3): {wait: 6.40000000100113, buy: 3.0} => [buy]
(9, 4): {wait: 7.2, buy: 4.0} => [buy]
(9, 5): {wait: 8.0, buy: 5.0} => [buy]
(9, 6): {wait: 8.8, buy: 6.0} => [buy]
(9, 7): {wait: 9.6, buy: 7.0} => [buy]
(9, 8): {wait: 10.399999999999999, buy: 8.0} => [buy]
(9, 9): {wait: 11.2, buy: 9.0} => [buy]
(9, 10): {wait: 12.0, buy: 10.0} => [buy]
(9, 11): {wait: 12.8, buy: 11.0} => [buy]
(9, 12): {wait: 13.6, buy: 12.0} => [buy]
(9, 13): {wait: 14.400000000000002, buy: 13.0} => [buy]
(9, 14): {wait: 15.2, buy: 14.0} => [buy]
(9, 15): {wait: 16.0, buy: 15.0} => [buy]
(9, 16): {wait: 16.8, buy: 16.0} => [buy]
(9, 17): {wait: 17.6, buy: 17.0} => [buy]
(9, 18): {wait: 18.4, buy: 18.0} => [buy]
(9, 19): {wait: 19.200000000000006, buy: 19.0} => [buy]
(9, 20): {wait: 20.0, buy: 20.0} => [wait, buy]
(9, 21): {wait: 20.799999999999997, buy: 21.0} => [wait]
(9, 22): {wait: 21.6, buy: 22.0} => [wait]
(9, 23): {wait: 22.400000000000002, buy: 23.0} => [wait]
(9, 24): {wait: 23.2, buy: 24.0} => [wait]
(9, 25): {wait: 24.0, buy: 25.0} => [wait]
(9, 26): {wait: 24.8, buy: 26.0} => [wait]
(9, 27): {wait: 25.6, buy: 27.0} => [wait]
(9, 28): {wait: 26.4, buy: 28.0} => [wait]
(9, 29): {wait: 27.199999999999996, buy: 29.0} => [wait]
(9, 30): {wait: 28.0, buy: 30.0} => [wait]
(9, 31): {wait: 28.799999999999994, buy: 31.0} => [wait]
(9, 32): {wait: 29.599999999999998, buy: 32.0} => [wait]
(9, 33): {wait: 30.4, buy: 33.0} => [wait]
(9, 34): {wait: 31.2, buy: 34.0} => [wait]
(9, 35): {wait: 32.0, buy: 35.0} => [wait]
(9, 36): {wait: 32.800000000000004, buy: 36.0} => [wait]
(9, 37): {wait: 33.599999999999994, buy: 37.0} => [wait]
(9, 38): {wait: 34.39999999999999, buy: 38.0} => [wait]
(9, 39): {wait: 35.19999999999999, buy: 39.0} => [wait]
(9, 40): {wait: 36.0, buy: 40.0} => [wait]
(9, 41): {wait: 37.0, buy: 41.0} => [wait]
(9, 42): {wait: 38.0, buy: 42.0} => [wait]
(9, 43): {wait: 39.0, buy: 43.0} => [wait]
(9, 44): {wait: 40.0, buy: 44.0} => [wait]
